,rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,targetDt
1,1,1,0,OLD,20180962,지푸라기라도 잡고 싶은 짐승들,2020-02-19,501918320,27.8,-131624390,-20.8,1196037030,61008,-16748,-21.5,146472,982,4598,20200220
2,2,2,0,OLD,20193321,정직한 후보,2020-02-12,385953590,21.4,-122299830,-24.1,10110438930,47945,-15114,-24,1205601,854,3582,20200220
3,3,3,0,OLD,20192399,1917,2020-02-19,399374020,22.1,-139963580,-26,988048120,45888,-16329,-26.2,112472,906,3760,20200220
4,4,4,0,OLD,20192240,작은 아씨들,2020-02-12,237090660,13.1,-50251560,-17.5,5280019710,29405,-6440,-18,629090,659,1934,20200220
5,5,5,0,OLD,20182447,클로젯,2020-02-05,89724000,5.0,-17082480,-16,10573695920,11630,-1353,-10.4,1223297,496,1042,20200220
6,6,6,1,OLD,20183782,기생충,2019-05-30,36746060,2.0,-9967540,-21.3,87090425125,5616,-1476,-20.8,10263951,147,353,20200220
7,7,7,-1,OLD,20193911,"하이, 젝시",2020-02-19,32932500,1.8,-29851500,-47.5,99532500,4320,-4157,-49,13412,192,653,20200220
8,8,8,1,OLD,20184891,수퍼 소닉,2020-02-12,15795400,0.9,-3506000,-18.2,834035950,2205,-496,-18.4,106445,186,229,20200220
9,9,9,1,OLD,20197390,조조 래빗,2020-02-05,13689960,0.8,-1898560,-12.2,784415560,1678,-236,-12.3,91511,111,194,20200220
10,10,10,4,OLD,20192984,극장판 미니특공대: 공룡왕 디노 ,2020-02-06,13292040,0.7,9514280,251.8,593669100,1578,1017,181.3,76179,67,77,20200220
11,1,1,10,OLD,20180962,지푸라기라도 잡고 싶은 짐승들,2020-02-19,633542710,27.3,618466710,4102.3,694118710,77756,75973,4261,85464,990,4801,20200219
12,2,2,-1,OLD,20193321,정직한 후보,2020-02-12,508253420,21.9,-246720310,-32.7,9724485340,63059,-32191,-33.8,1157656,841,3671,20200219
13,3,3,11,OLD,20192399,1917,2020-02-19,539337600,23.2,522864600,3174.1,588674100,62217,60862,4491.7,66584,928,3832,20200219
