"","X","영화명","개봉일","매출액","관객수","스크린수","대표국적","배급사","영화명_공백X","영화코드","장르","main_genre"
"1",1,"명량",20140730,135748398910,17613682,1587,"한국","씨제이이앤엠(주)","명량",20129370,"사극 액션","사극"
"2",2,"극한직업",20190123,139647979516,16264944,1978,"한국","씨제이이앤엠(주)","극한직업",20182530,"코미디","코미디"
"3",3,"신과함께-죄와 벌",20171220,115698654137,14410754,1912,"한국","롯데쇼핑㈜롯데엔터테인먼트","신과함께-죄와벌",20150976,"판타지 드라마","판타지"
"4",4,"국제시장",20141217,110913469630,14257115,966,"한국","씨제이이앤엠(주)","국제시장",20137048,"드라마","드라마"
"5",5,"베테랑",20150805,105168155250,13414009,1064,"한국","씨제이이앤엠(주)","베테랑",20148048,"액션 드라마","액션"
"6",6,"괴물",20060727,133000912782,13019740,167,"한국","(주)쇼박스","괴물",20060151,"SF 가족 드라마","SF"
"7",7,"도둑들",20120725,93665568500,12983330,1072,"한국","(주)쇼박스","도둑들",20124034,"액션 범죄","액션"
"8",8,"7번방의 선물",20130123,91431914670,12811206,787,"한국","(주)넥스트엔터테인먼트월드(NEW)","7번방의선물",20127593,"코미디 드라마","코미디"
"9",9,"암살",20150722,98463132781,12705700,1519,"한국","(주)쇼박스","암살",20148851,"액션 드라마","액션"
"10",10,"광해, 왕이 된 남자",20120913,88900208769,12319542,810,"한국","씨제이이앤엠(주)","광해,왕이된남자",20124079,"사극 드라마","사극"
"11",11,"왕의 남자",20051229,122816592144,12302831,94,"한국","(주)시네마서비스","왕의남자",20050333,"드라마","드라마"
"12",12,"신과함께-인과 연",20180801,102666146909,12274996,2235,"한국","롯데컬처웍스(주)롯데엔터테인먼트","신과함께-인과연",20186202,"판타지 드라마","판타지"
"13",13,"택시운전사",20170802,95855737149,12186684,1906,"한국","(주)쇼박스","택시운전사",20162869,"드라마","드라마"
"14",14,"태극기 휘날리며",20040205,108815603454,11746135,110,"한국","(주)쇼박스","태극기휘날리며",20030371,"전쟁 드라마","전쟁"
"15",15,"부산행",20160720,93178283048,11565479,1788,"한국","(주)넥스트엔터테인먼트월드(NEW)","부산행",20156564,"액션 스릴러","액션"
"16",16,"해운대",20090722,81934638201,11453338,753,"한국","씨제이엔터테인먼트","해운대",20090074,"액션 드라마 어드벤처","액션"
"17",17,"변호인",20131218,82871759300,11374610,923,"한국","(주)넥스트엔터테인먼트월드(NEW)","변호인",20134803,"드라마","드라마"
"18",18,"실미도",20031224,107655475365,11081000,83,"한국","(주)시네마서비스","실미도",20030410,"전쟁","전쟁"
"19",19,"기생충",20190530,85883963645,10085275,1948,"한국","씨제이이앤엠(주)","기생충",20183782,"드라마","드라마"
"20",20,"검사외전",20160203,77319445264,9707158,1812,"한국","(주)쇼박스","검사외전",20145507,"범죄 코미디","범죄"
"21",21,"엑시트",20190731,79232012162,9426011,1660,"한국","씨제이이앤엠(주)","엑시트",20184621,"코미디 액션","코미디"
"22",22,"설국열차",20130801,67010077500,9349991,1128,"한국","씨제이이앤엠(주)","설국열차",20126674,"SF 액션","SF"
"23",23,"관상",20130911,66005451500,9134586,1190,"한국","(주)쇼박스","관상",20126091,"사극 드라마","사극"
"24",24,"해적: 바다로 간 산적",20140806,66370682706,8666046,838,"한국","롯데쇼핑㈜롯데엔터테인먼트","해적:바다로간산적",20136064,"어드벤처","어드벤처"
"25",25,"수상한 그녀",20140122,62696639249,8656397,692,"한국","씨제이이앤엠(주)","수상한그녀",20131102,"드라마","드라마"
"26",26,"국가대표",20090729,60896633308,8487894,580,"한국","(주)쇼박스","국가대표",20090307,"드라마 액션 코미디","드라마"
"27",27,"디워",20070801,101289181959,8426973,148,"한국","(주)쇼박스","디워",20070316,"액션 판타지","액션"
"28",28,"과속스캔들",20081203,53940101534,8245523,405,"한국","롯데쇼핑㈜롯데엔터테인먼트","과속스캔들",20081672,"코미디","코미디"
"29",29,"웰컴 투 동막골",20050804,98312056740,8008622,114,"한국","(주)쇼박스","웰컴투동막골",20050180,"전쟁 드라마","전쟁"
"30",30,"공조",20170118,63781731326,7817446,976,"한국","씨제이이앤엠(주)","공조",20151228,"액션","액션"
"31",31,"히말라야",20151216,60173583015,7759473,1009,"한국","씨제이이앤엠(주)","히말라야",20136068,"드라마","드라마"
"32",32,"밀정",20160907,61269783831,7500420,1444,"한국","워너브러더스 코리아(주)","밀정",20159646,"액션","액션"
"33",33,"최종병기 활",20110810,55827861500,7470633,615,"한국","롯데쇼핑㈜롯데엔터테인먼트","최종병기활",20110302,"사극 액션","사극"
"34",34,"써니",20110504,54034235100,7362467,472,"한국","씨제이이앤엠(주)","써니",20110193,"드라마 코미디","드라마"
"35",35,"화려한 휴가",20070725,98037124830,7307993,116,"한국","씨제이엔터테인먼트","화려한휴가",20070209,"드라마","드라마"
"36",36,"1987",20171227,58165581145,7231638,1299,"한국","씨제이이앤엠(주)","1987",20170590,"드라마","드라마"
"37",37,"베를린",20130130,52354931637,7166199,894,"한국","씨제이이앤엠(주)","베를린",20124083,"액션","액션"
"38",38,"마스터",20161221,58067927865,7150541,1501,"한국","씨제이이앤엠(주)","마스터",20161725,"액션 범죄","액션"
